term,material_system,mode,k,status,pre_count,post_count,overlap_count,jaccard,pre_neighbors,post_neighbors,shared_neighbors
interference,structural_color_composite,common_vocab,5,compared,12554,10483,2,0.25,fabry_perot; destructive_interference; constructive_interference; constructive_destructive; interference_fringe,constructive_destructive; interfere; unscattered; interfere_constructively; destructive_interference,constructive_destructive; destructive_interference
interference,structural_color_composite,common_vocab,10,compared,12554,10483,7,0.5384615384615384,fabry_perot; destructive_interference; constructive_interference; constructive_destructive; interference_fringe; interfere; fringe; unscattered; interfere_destructively; grating,constructive_destructive; interfere; unscattered; interfere_constructively; destructive_interference; interfere_destructively; background_noise; constructive_interference; reflection; interference_fringe,constructive_destructive; constructive_interference; destructive_interference; interfere; interfere_destructively; interference_fringe; unscattered
interference,structural_color_composite,common_vocab,20,compared,12554,10483,11,0.3793103448275862,fabry_perot; destructive_interference; constructive_interference; constructive_destructive; interference_fringe; interfere; fringe; unscattered; interfere_destructively; grating; interferometer; interferometric; p_́erot; fabry_pérot; transmission; interfere_constructively; standing_wave; diffract; reflection; reflected,constructive_destructive; interfere; unscattered; interfere_constructively; destructive_interference; interfere_destructively; background_noise; constructive_interference; reflection; interference_fringe; unwanted; backscattering; fano_interference; interferometric; pe_́rot; disturbance; fabry_pérot; exit_port; spurious; interferential,constructive_destructive; constructive_interference; destructive_interference; fabry_pérot; interfere; interfere_constructively; interfere_destructively; interference_fringe; interferometric; reflection; unscattered
light_scattering,structural_color_composite,common_vocab,5,compared,6017,6272,4,0.6666666666666666,dls; scatter_dls; nano_zs; dls_zetasizer; zetasizer_nano,dls; scatter_dls; zetasizer_nano; dls_malvern; dls_zetasizer,dls; dls_zetasizer; scatter_dls; zetasizer_nano
light_scattering,structural_color_composite,common_vocab,10,compared,6017,6272,6,0.42857142857142855,dls; scatter_dls; nano_zs; dls_zetasizer; zetasizer_nano; malvern_zetasizer; zetasizer; dls_brookhaven; zeta_sizer; malvern_instruments,dls; scatter_dls; zetasizer_nano; dls_malvern; dls_zetasizer; nano_zs; malvern_zetasizer; nano_zs90; zs_malvern; hydrodynamic_diameter,dls; dls_zetasizer; malvern_zetasizer; nano_zs; scatter_dls; zetasizer_nano
light_scattering,structural_color_composite,common_vocab,20,compared,6017,6272,14,0.5384615384615384,dls; scatter_dls; nano_zs; dls_zetasizer; zetasizer_nano; malvern_zetasizer; zetasizer; dls_brookhaven; zeta_sizer; malvern_instruments; zs_malvern; dls_malvern; brookhaven_instruments; zen_malvern; particle_sizer; hydrodynamic_diameter; instrument_malvern; dls_electrophoretic; holtsville_ny; zetasizer_malvern,dls; scatter_dls; zetasizer_nano; dls_malvern; dls_zetasizer; nano_zs; malvern_zetasizer; nano_zs90; zs_malvern; hydrodynamic_diameter; dls_electrophoretic; zetasizer; zeta_sizer; malvern_instruments; malvern; zetasizer_nanozs; zs90_malvern; dls_zeta; zetasizer_malvern; polydispersity_index,dls; dls_electrophoretic; dls_malvern; dls_zetasizer; hydrodynamic_diameter; malvern_instruments; malvern_zetasizer; nano_zs; scatter_dls; zeta_sizer; zetasizer; zetasizer_malvern; zetasizer_nano; zs_malvern
monoclinic,zirconia,common_vocab,5,compared,12248,7652,3,0.42857142857142855,tetragonal; monoclinic_tetragonal; tetragonal_monoclinic; orthorhombic; orthorhombic_monoclinic,tetragonal; orthorhombic; rhombohedral; tetragonal_monoclinic; cubic_tetragonal,orthorhombic; tetragonal; tetragonal_monoclinic
monoclinic,zirconia,common_vocab,10,compared,12248,7652,7,0.5384615384615384,tetragonal; monoclinic_tetragonal; tetragonal_monoclinic; orthorhombic; orthorhombic_monoclinic; monoclinic_orthorhombic; monoclinic_distortion; cubic_tetragonal; monoclinic_c2; rhombohedral,tetragonal; orthorhombic; rhombohedral; tetragonal_monoclinic; cubic_tetragonal; triclinic; monoclinic_tetragonal; tetragonal_cubic; monoclinic_distortion; monoclinic_p21,cubic_tetragonal; monoclinic_distortion; monoclinic_tetragonal; orthorhombic; rhombohedral; tetragonal; tetragonal_monoclinic
monoclinic,zirconia,common_vocab,20,compared,12248,7652,13,0.48148148148148145,tetragonal; monoclinic_tetragonal; tetragonal_monoclinic; orthorhombic; orthorhombic_monoclinic; monoclinic_orthorhombic; monoclinic_distortion; cubic_tetragonal; monoclinic_c2; rhombohedral; tetragonal_cubic; triclinic; monoclinic_p21; monoclinic_zro; rhombohedral_r3; tetragonal_p42; baddeleyite; p21; pseudocubic; orthorhombic_pnma,tetragonal; orthorhombic; rhombohedral; tetragonal_monoclinic; cubic_tetragonal; triclinic; monoclinic_tetragonal; tetragonal_cubic; monoclinic_distortion; monoclinic_p21; t→m; monoclinic_c2; monoclinic_triclinic; cubic; rhombohedral_orthorhombic; monoclinic_orthorhombic; rhombohedral_monoclinic; p42_nmc; orthorhombic_monoclinic; rhombohedral_r3c,cubic_tetragonal; monoclinic_c2; monoclinic_distortion; monoclinic_orthorhombic; monoclinic_p21; monoclinic_tetragonal; orthorhombic; orthorhombic_monoclinic; rhombohedral; tetragonal; tetragonal_cubic; tetragonal_monoclinic; triclinic
monolithic_zirconia,zirconia,common_vocab,5,compared,849,2951,3,0.42857142857142855,veneered_zirconia; lithium_disilicate; veneered; tzp_ceramic; zirconia,translucent_zirconia; lithium_disilicate; ceramic_crown; veneered_zirconia; zirconia,lithium_disilicate; veneered_zirconia; zirconia
monolithic_zirconia,zirconia,common_vocab,10,compared,849,2951,7,0.5384615384615384,veneered_zirconia; lithium_disilicate; veneered; tzp_ceramic; zirconia; ceramic_crown; tzp; veneer_ceramic; translucent_zirconia; veneering_porcelain,translucent_zirconia; lithium_disilicate; ceramic_crown; veneered_zirconia; zirconia; veneered; crown; veneer; veneer_ceramic; veneer_porcelain,ceramic_crown; lithium_disilicate; translucent_zirconia; veneer_ceramic; veneered; veneered_zirconia; zirconia
monolithic_zirconia,zirconia,common_vocab,20,compared,849,2951,13,0.48148148148148145,veneered_zirconia; lithium_disilicate; veneered; tzp_ceramic; zirconia; ceramic_crown; tzp; veneer_ceramic; translucent_zirconia; veneering_porcelain; veneer_porcelain; veneer; porcelain_veneer; translucency; ips_e.max; cad_cam; feldspathic_ceramic; ceramic; tetragonal_zirconia; restoration,translucent_zirconia; lithium_disilicate; ceramic_crown; veneered_zirconia; zirconia; veneered; crown; veneer; veneer_ceramic; veneer_porcelain; fpds; porcelain_veneer; porcelain_fuse; fdp; fix_partial; ceramic; restoration; 3y_tzp; laminate_veneer; feldspathic_ceramic,ceramic; ceramic_crown; feldspathic_ceramic; lithium_disilicate; porcelain_veneer; restoration; translucent_zirconia; veneer; veneer_ceramic; veneer_porcelain; veneered; veneered_zirconia; zirconia
nanostructure,structural_color_composite,common_vocab,5,compared,31992,42401,2,0.25,nanomaterial; nanoscale; nanowire; nanostructured; nanorod,nanoarchitecture; nanorod; nanostructured; nanostructures; nanoflower,nanorod; nanostructured
nanostructure,structural_color_composite,common_vocab,10,compared,31992,42401,6,0.42857142857142855,nanomaterial; nanoscale; nanowire; nanostructured; nanorod; nanostructuring; nanocrystal; nanodevice; nanometer_scale; nanoparticle,nanoarchitecture; nanorod; nanostructured; nanostructures; nanoflower; nanomaterial; nanowire; nanoscale; nanosized; nanoparticle,nanomaterial; nanoparticle; nanorod; nanoscale; nanostructured; nanowire
nanostructure,structural_color_composite,common_vocab,20,compared,31992,42401,12,0.42857142857142855,nanomaterial; nanoscale; nanowire; nanostructured; nanorod; nanostructuring; nanocrystal; nanodevice; nanometer_scale; nanoparticle; tailor; nanoengineere; micro-/nanostructure; nanoporous; nanoarchitecture; nanofabrication; selfassembled; nanowire_array; core_shell; hierarchical,nanoarchitecture; nanorod; nanostructured; nanostructures; nanoflower; nanomaterial; nanowire; nanoscale; nanosized; nanoparticle; nanotube; self_assemble; selfassembled; hierarchical; nanoporous; nanocrystal; nanosphere; decorate; coreshell; core_shell,core_shell; hierarchical; nanoarchitecture; nanocrystal; nanomaterial; nanoparticle; nanoporous; nanorod; nanoscale; nanostructured; nanowire; selfassembled
opacity,structural_color_composite,common_vocab,5,compared,1768,2030,3,0.42857142857142855,translucent; translucency; opaque; color; translucence,translucency; opaque; translucent; transmittance; masking_ability,opaque; translucency; translucent
opacity,structural_color_composite,common_vocab,10,compared,1768,2030,8,0.6666666666666666,translucent; translucency; opaque; color; translucence; shade; transmittance; transparency; opalescence; white_opaque,translucency; opaque; translucent; transmittance; masking_ability; transparency; white_opaque; shade; opaqueness; color,color; opaque; shade; translucency; translucent; transmittance; transparency; white_opaque
opacity,structural_color_composite,common_vocab,20,compared,1768,2030,13,0.48148148148148145,translucent; translucency; opaque; color; translucence; shade; transmittance; transparency; opalescence; white_opaque; opaque_shade; radiopacity; shade_opacity; translucent_opaque; opaqueness; whitish; lightness; discolouration; translucency_opacity; illuminant,translucency; opaque; translucent; transmittance; masking_ability; transparency; white_opaque; shade; opaqueness; color; whitish_appearance; masking; translucency_opalescence; discoloration; transparent; opaque_shade; opalescence; color_matching; translucency_opacity; translucent_opaque,color; opalescence; opaque; opaque_shade; opaqueness; shade; translucency; translucency_opacity; translucent; translucent_opaque; transmittance; transparency; white_opaque
opal,structural_color_composite,common_vocab,5,compared,882,310,2,0.25,inverse_opal; photonic_crystal; photonic; 3dom; colloidal,inverse_opal; photonic_crystal; bi12sio20; vectorlabs; fluidics,inverse_opal; photonic_crystal
opal,structural_color_composite,common_vocab,10,compared,882,310,3,0.17647058823529413,inverse_opal; photonic_crystal; photonic; 3dom; colloidal; refractive_index; photonic_bandgap; infille; iridescence; butterfly_wing,inverse_opal; photonic_crystal; bi12sio20; vectorlabs; fluidics; photonic_bandgap; sog; biocare_medical; ringwood; templated,inverse_opal; photonic_bandgap; photonic_crystal
opal,structural_color_composite,common_vocab,20,compared,882,310,4,0.1111111111111111,inverse_opal; photonic_crystal; photonic; 3dom; colloidal; refractive_index; photonic_bandgap; infille; iridescence; butterfly_wing; template; antireflective_coating; specular_reflectance; omnidirectional; iridescent; translucent; reflectance_transmittance; index_refraction; transmittance; antireflective,inverse_opal; photonic_crystal; bi12sio20; vectorlabs; fluidics; photonic_bandgap; sog; biocare_medical; ringwood; templated; counterstaine_mayer; stopband; assemblage; templating; gemstone; monodisperse_polystyrene; dithizone; fitch; template; reflective,inverse_opal; photonic_bandgap; photonic_crystal; template
optical,structural_color_composite,common_vocab,5,compared,131560,142374,3,0.42857142857142855,light; opti_cal; transmittance; optic; fluorescence,light; wavelength; opti_cal; transmittance; laser,light; opti_cal; transmittance
optical,structural_color_composite,common_vocab,10,compared,131560,142374,6,0.42857142857142855,light; opti_cal; transmittance; optic; fluorescence; reflectance; infrared; measurement; visible; measure,light; wavelength; opti_cal; transmittance; laser; optically; refractive_index; fluorescence; optic; measurement,fluorescence; light; measurement; opti_cal; optic; transmittance
optical,structural_color_composite,common_vocab,20,compared,131560,142374,12,0.42857142857142855,light; opti_cal; transmittance; optic; fluorescence; reflectance; infrared; measurement; visible; measure; microscope; optically; refractive_index; wavelength; emission; op_tical; optics; laser; photo; absorption,light; wavelength; opti_cal; transmittance; laser; optically; refractive_index; fluorescence; optic; measurement; measure; transparent; absorption; reflectivity; mechanical; use; color; determine; photoluminescence; take,absorption; fluorescence; laser; light; measure; measurement; opti_cal; optic; optically; refractive_index; transmittance; wavelength
partially,zirconia,common_vocab,5,compared,25010,23638,4,0.6666666666666666,partly; fully; completely; support; would,partly; fully; completely; would; totally,completely; fully; partly; would
partially,zirconia,common_vocab,10,compared,25010,23638,7,0.5384615384615384,partly; fully; completely; support; would; acknowledgment_work; totally; part; partial; acknowledgement_work,partly; fully; completely; would; totally; partial; support; might; also; primarily,completely; fully; partial; partly; support; totally; would
partially,zirconia,common_vocab,20,compared,25010,23638,11,0.3793103448275862,partly; fully; completely; support; would; acknowledgment_work; totally; part; partial; acknowledgement_work; acknowledgment; also; and/or; work; strongly; highly; acknowledgement; structure; entirely; may,partly; fully; completely; would; totally; partial; support; might; also; primarily; remain; portion; entirely; could; structure; possibly; mostly; form; acknowledgment_work; fact,acknowledgment_work; also; completely; entirely; fully; partial; partly; structure; support; totally; would
particulate,short_fiber_composite,common_vocab,5,compared,7820,5111,3,0.42857142857142855,particle; reinforcement; particulates; micron_sized; wear_debris,particle; nano_sized; micron_sized; reinforcement; reinforce,micron_sized; particle; reinforcement
particulate,short_fiber_composite,common_vocab,10,compared,7820,5111,5,0.3333333333333333,particle; reinforcement; particulates; micron_sized; wear_debris; microparticulate; porous; atomize; particulate_debris; nanoparticulate,particle; nano_sized; micron_sized; reinforcement; reinforce; microparticulate; submicron_sized; nanoparticulate; nano-_micro; microparticle,micron_sized; microparticulate; nanoparticulate; particle; reinforcement
particulate,short_fiber_composite,common_vocab,20,compared,7820,5111,10,0.3333333333333333,particle; reinforcement; particulates; micron_sized; wear_debris; microparticulate; porous; atomize; particulate_debris; nanoparticulate; reinforce; reinforcing; debris; submicron; nano-_micro; a356_aluminum; nano_sized; phagocytose; murine_macrophage; matrix,particle; nano_sized; micron_sized; reinforcement; reinforce; microparticulate; submicron_sized; nanoparticulate; nano-_micro; microparticle; nanosized; submicron; particulate_matter; agglomerate; agglomerated; particles; reinforcing; nanometric; dispersed; polymeric,micron_sized; microparticulate; nano-_micro; nano_sized; nanoparticulate; particle; reinforce; reinforcement; reinforcing; submicron
photonic_crystal,structural_color_composite,common_vocab,5,compared,3294,2104,3,0.42857142857142855,photonic; photonic_bandgap; waveguide; metamaterial; subwavelength,photonic; photonic_bandgap; waveguide; nanophotonic_waveguide; nanocavity,photonic; photonic_bandgap; waveguide
photonic_crystal,structural_color_composite,common_vocab,10,compared,3294,2104,4,0.25,photonic; photonic_bandgap; waveguide; metamaterial; subwavelength; metallodielectric; nanophotonic; waveguiding; phcs; hyperbolic_metamaterial,photonic; photonic_bandgap; waveguide; nanophotonic_waveguide; nanocavity; plasmonic_metamaterial; nanocavitie; plasmonic_waveguide; subwavelength; metasurface,photonic; photonic_bandgap; subwavelength; waveguide
photonic_crystal,structural_color_composite,common_vocab,20,compared,3294,2104,7,0.21212121212121213,photonic; photonic_bandgap; waveguide; metamaterial; subwavelength; metallodielectric; nanophotonic; waveguiding; phcs; hyperbolic_metamaterial; spontaneous_emission; superlense; ultracompact; bragg_reflector; inverse_opal; omnidirectional; microcavity; phononic_crystal; plasmonic; phc_slab,photonic; photonic_bandgap; waveguide; nanophotonic_waveguide; nanocavity; plasmonic_metamaterial; nanocavitie; plasmonic_waveguide; subwavelength; metasurface; ring_resonator; nanophotonic; plasmonic_metasurface; microcavity; bragg_reflector; microcavitie; opt_express; whisper_gallery; fano_resonance; fabry_perot,bragg_reflector; microcavity; nanophotonic; photonic; photonic_bandgap; subwavelength; waveguide
pigment,structural_color_composite,common_vocab,5,compared,3872,5082,2,0.25,colorant; pigments; colourant; pigment_opacifier; titanium_dioxide,colorant; pigments; opacifier; pigmentation; coloring,colorant; pigments
pigment,structural_color_composite,common_vocab,10,compared,3872,5082,6,0.42857142857142855,colorant; pigments; colourant; pigment_opacifier; titanium_dioxide; cosmetic; opacifier; initiator_stabilizer; paint; camphorquinone,colorant; pigments; opacifier; pigmentation; coloring; pigment_opacifier; shade; paint; camphorquinone; coloration,camphorquinone; colorant; opacifier; paint; pigment_opacifier; pigments
pigment,structural_color_composite,common_vocab,20,compared,3872,5082,10,0.3333333333333333,colorant; pigments; colourant; pigment_opacifier; titanium_dioxide; cosmetic; opacifier; initiator_stabilizer; paint; camphorquinone; coloration; sunscreen; pigmentary; translucent; colored; colour; fd&c; pigmentation; colorless; methacrylate,colorant; pigments; opacifier; pigmentation; coloring; pigment_opacifier; shade; paint; camphorquinone; coloration; colouring; discoloration; titanium_dioxide; color; filler; stabilizer_pigment; pigmented; organic; colourant; discolor,camphorquinone; colorant; coloration; colourant; opacifier; paint; pigment_opacifier; pigmentation; pigments; titanium_dioxide
ratio,zirconia,common_vocab,5,compared,193368,190935,4,0.6666666666666666,proportion; respectively; amount; mix; percentage,respectively; proportion; percentage; ration; amount,amount; percentage; proportion; respectively
ratio,zirconia,common_vocab,10,compared,193368,190935,7,0.5384615384615384,proportion; respectively; amount; mix; percentage; addition; increase; mixture; value; table,respectively; proportion; percentage; ration; amount; mix; relative; mixture; addition; content,addition; amount; mix; mixture; percentage; proportion; respectively
ratio,zirconia,common_vocab,20,compared,193368,190935,13,0.48148148148148145,proportion; respectively; amount; mix; percentage; addition; increase; mixture; value; table; weight; decrease; content; percent; powder; great; except; equal; significantly; relative,respectively; proportion; percentage; ration; amount; mix; relative; mixture; addition; content; value; i.e.; 1:1; vary; molar_ratio; weight; concentration; table; high; equal,addition; amount; content; equal; mix; mixture; percentage; proportion; relative; respectively; table; value; weight
refractive_index,structural_color_composite,common_vocab,5,compared,12143,11247,3,0.42857142857142855,index_refraction; refraction_index; refraction; nsio2; extinction_coefficient,refraction_index; index_refraction; refraction; reflectance; transmittance,index_refraction; refraction; refraction_index
refractive_index,structural_color_composite,common_vocab,10,compared,12143,11247,6,0.42857142857142855,index_refraction; refraction_index; refraction; nsio2; extinction_coefficient; birefringence; transmittance; prism_coupler; ordinary_extraordinary; abbe_refractometer,refraction_index; index_refraction; refraction; reflectance; transmittance; extinction_coefficient; reflectivity; abbe_refractometer; permittivity; transmittance_reflectance,abbe_refractometer; extinction_coefficient; index_refraction; refraction; refraction_index; transmittance
refractive_index,structural_color_composite,common_vocab,20,compared,12143,11247,14,0.5384615384615384,index_refraction; refraction_index; refraction; nsio2; extinction_coefficient; birefringence; transmittance; prism_coupler; ordinary_extraordinary; abbe_refractometer; permittivity; permittivitie; kerr_nonlinearity; fresnel_reflection; fresnel; sellmeier; refractometer; refractive; reflectance; reflectivity,refraction_index; index_refraction; refraction; reflectance; transmittance; extinction_coefficient; reflectivity; abbe_refractometer; permittivity; transmittance_reflectance; wavelength; n(λ; permittivitie; fresnel_reflection; refractive; ordinary_extraordinary; reflectance_transmittance; birefringence; optical; permittivity_permeability,abbe_refractometer; birefringence; extinction_coefficient; fresnel_reflection; index_refraction; ordinary_extraordinary; permittivitie; permittivity; reflectance; reflectivity; refraction; refraction_index; refractive; transmittance
reinforcement,short_fiber_composite,common_vocab,5,compared,11400,18064,4,0.6666666666666666,reinforce; reinforcing; fiber_reinforce; fiber; fibre_reinforce,reinforce; reinforcing; unreinforced; fiber_reinforce; fibre_reinforce,fiber_reinforce; fibre_reinforce; reinforce; reinforcing
reinforcement,short_fiber_composite,common_vocab,10,compared,11400,18064,5,0.3333333333333333,reinforce; reinforcing; fiber_reinforce; fiber; fibre_reinforce; unreinforced; reinforced; aramid_fiber; pre_impregnated; mechanical,reinforce; reinforcing; unreinforced; fiber_reinforce; fibre_reinforce; nanofiller; cfrp; reinforce_epoxy; toughen; toughness,fiber_reinforce; fibre_reinforce; reinforce; reinforcing; unreinforced
reinforcement,short_fiber_composite,common_vocab,20,compared,11400,18064,10,0.3333333333333333,reinforce; reinforcing; fiber_reinforce; fiber; fibre_reinforce; unreinforced; reinforced; aramid_fiber; pre_impregnated; mechanical; composites; strength; flexural_strength; aramid; toughness; whisker_reinforce; weave; matrix; fiber_reinforced; glass,reinforce; reinforcing; unreinforced; fiber_reinforce; fibre_reinforce; nanofiller; cfrp; reinforce_epoxy; toughen; toughness; fibre; reinforced; matrix; fiber; nanoreinforcement; tensile_strength; epoxy; sisal_fiber; fiber_reinforced; particulate,fiber; fiber_reinforce; fiber_reinforced; fibre_reinforce; matrix; reinforce; reinforced; reinforcing; toughness; unreinforced
resin,short_fiber_composite,common_vocab,5,compared,176923,125270,3,0.42857142857142855,composite; adhesive; restorative; material; base,composite; cad_cam; adhesive; resin_cement; restorative,adhesive; composite; restorative
resin,short_fiber_composite,common_vocab,10,compared,176923,125270,5,0.3333333333333333,composite; adhesive; restorative; material; base; dentin; resin_cement; bonding; cure; light_cure,composite; cad_cam; adhesive; resin_cement; restorative; restoration; material; dent_mater; ceramic; luting,adhesive; composite; material; resin_cement; restorative
resin,short_fiber_composite,common_vocab,20,compared,176923,125270,13,0.48148148148148145,composite; adhesive; restorative; material; base; dentin; resin_cement; bonding; cure; light_cure; dent_mater; restoration; lute_cement; polymerization; study; resinous; luting; system; flowable_composite; effect,composite; cad_cam; adhesive; resin_cement; restorative; restoration; material; dent_mater; ceramic; luting; lute; cad/_cam; lute_agent; lute_cement; dentin; flowable_composite; bonding; acrylic_resin; bond_strength; base,adhesive; base; bonding; composite; dent_mater; dentin; flowable_composite; lute_cement; luting; material; resin_cement; restoration; restorative
resistance,short_fiber_composite,common_vocab,5,compared,90978,132556,3,0.42857142857142855,strength; mechanical; property; fracture; effect,strength; mechanical; resistant; fracture; fatigue,fracture; mechanical; strength
resistance,short_fiber_composite,common_vocab,10,compared,90978,132556,7,0.5384615384615384,strength; mechanical; property; fracture; effect; characteristic; resistant; fatigue; influence; various,strength; mechanical; resistant; fracture; fatigue; effect; property; behavior; cyclic_fatigue; retention,effect; fatigue; fracture; mechanical; property; resistant; strength
resistance,short_fiber_composite,common_vocab,20,compared,90978,132556,13,0.48148148148148145,strength; mechanical; property; fracture; effect; characteristic; resistant; fatigue; influence; various; vitro; behavior; material; performance; reinforce; base; current; different; restore; report,strength; mechanical; resistant; fracture; fatigue; effect; property; behavior; cyclic_fatigue; retention; characteristic; contact; conventional; low; durability; base; current; different; comparison; material,base; behavior; characteristic; current; different; effect; fatigue; fracture; material; mechanical; property; resistant; strength
shade,structural_color_composite,common_vocab,5,compared,14183,10583,2,0.25,translucency; color; shades; translucent_shade; opaque_shade,color; translucency; color_matching; shade_a2; shade_a3,color; translucency
shade,structural_color_composite,common_vocab,10,compared,14183,10583,5,0.3333333333333333,translucency; color; shades; translucent_shade; opaque_shade; vita_shade; translucent; shade_a2; shade_selection; shade_tab,color; translucency; color_matching; shade_a2; shade_a3; vita_classic; shade_matching; shaded; translucent_shade; translucent,color; shade_a2; translucency; translucent; translucent_shade
shade,structural_color_composite,common_vocab,20,compared,14183,10583,13,0.48148148148148145,translucency; color; shades; translucent_shade; opaque_shade; vita_shade; translucent; shade_a2; shade_selection; shade_tab; shade_guide; a3.5; illuminant; color_matching; darker_shade; opalescence; cielab_color; shade_a3; a3_a3.5; shade_a3.5,color; translucency; color_matching; shade_a2; shade_a3; vita_classic; shade_matching; shaded; translucent_shade; translucent; colored; a3_a3.5; composite; opaque_shade; shading; shade_selection; shade_tab; shade_guide; shade_a3.5; coloring,a3_a3.5; color; color_matching; opaque_shade; shade_a2; shade_a3; shade_a3.5; shade_guide; shade_selection; shade_tab; translucency; translucent; translucent_shade
shade_matching,structural_color_composite,common_vocab,5,compared,775,375,3,0.42857142857142855,shade_selection; shade_guide; color_matching; colour_matching; vitapan_classical,shade_selection; color_matching; shade_guide; visual_instrumental; shade_tab,color_matching; shade_guide; shade_selection
shade_matching,structural_color_composite,common_vocab,10,compared,775,375,7,0.5384615384615384,shade_selection; shade_guide; color_matching; colour_matching; vitapan_classical; shade_tab; visual_instrumental; shade_taking; illuminant; vita_classical,shade_selection; color_matching; shade_guide; visual_instrumental; shade_tab; vita_classical; shade; vita_classic; vitapan_classical; cielab,color_matching; shade_guide; shade_selection; shade_tab; visual_instrumental; vita_classical; vitapan_classical
shade_matching,structural_color_composite,common_vocab,20,compared,775,375,12,0.42857142857142855,shade_selection; shade_guide; color_matching; colour_matching; vitapan_classical; shade_tab; visual_instrumental; shade_taking; illuminant; vita_classical; cielab; lightness_chroma; vita_shade; colorimeter; easyshade; spectrophotometer_colorimeter; vita_easyshade; vita_classic; paravina; spectroshade,shade_selection; color_matching; shade_guide; visual_instrumental; shade_tab; vita_classical; shade; vita_classic; vitapan_classical; cielab; masking_ability; spectrophotometer_colorimeter; vita_shade; color; metamerism; translucency; visual_assessment; colour_matching; whiteness; visual_judgment,cielab; color_matching; colour_matching; shade_guide; shade_selection; shade_tab; spectrophotometer_colorimeter; visual_instrumental; vita_classic; vita_classical; vita_shade; vitapan_classical
short,short_fiber_composite,common_vocab,5,compared,86402,80622,3,0.42857142857142855,long; shorter; time; length; relatively,long; length; time; short-; hand,length; long; time
short,short_fiber_composite,common_vocab,10,compared,86402,80622,3,0.17647058823529413,long; shorter; time; length; relatively; long_term; strong; range; extend; conventional,long; length; time; short-; hand; extended; duration; order; much; period,length; long; time
short,short_fiber_composite,common_vocab,20,compared,86402,80622,11,0.3793103448275862,long; shorter; time; length; relatively; long_term; strong; range; extend; conventional; several; much; period; however; large; small; less; shorten; characteristic; latter,long; length; time; short-; hand; extended; duration; order; much; period; shorter; extend; large; less; low; within; strong; long_term; fiber; case,extend; large; length; less; long; long_term; much; period; shorter; strong; time
stabilized,zirconia,common_vocab,5,compared,669,676,4,0.6666666666666666,stabilize; stabilization; stabilise; unstabilized; stable,stabilization; stabilize; stabilise; stable; stabilizing,stabilise; stabilization; stabilize; stable
stabilized,zirconia,common_vocab,10,compared,669,676,6,0.42857142857142855,stabilize; stabilization; stabilise; unstabilized; stable; stabilised; stabilisation; dispersed; stabilizer; reducing,stabilization; stabilize; stabilise; stable; stabilizing; stabilisation; stabilizer; highly_efficient; destabilize; unstable,stabilisation; stabilise; stabilization; stabilize; stabilizer; stable
stabilized,zirconia,common_vocab,20,compared,669,676,9,0.2903225806451613,stabilize; stabilization; stabilise; unstabilized; stable; stabilised; stabilisation; dispersed; stabilizer; reducing; stabilizing; loaded; aqueous; restrain; sustain; prolonged; shut; composing; prolong; disperse,stabilization; stabilize; stabilise; stable; stabilizing; stabilisation; stabilizer; highly_efficient; destabilize; unstable; enhanced; aqueous; durable; robust; formed; destabilization; bifunctional; dispersed; efficient; instable,aqueous; dispersed; stabilisation; stabilise; stabilization; stabilize; stabilizer; stabilizing; stable
strength,zirconia,common_vocab,5,compared,177099,193320,3,0.42857142857142855,mechanical; flexural_strength; tensile_strength; property; bond_strength,mechanical; property; flexural_strength; bonding; durability,flexural_strength; mechanical; property
strength,zirconia,common_vocab,10,compared,177099,193320,6,0.42857142857142855,mechanical; flexural_strength; tensile_strength; property; bond_strength; tensile; fracture_toughness; fracture; result; diametral_tensile,mechanical; property; flexural_strength; bonding; durability; bond_strength; tensile_strength; tensile; elastic_modulus; mpa,bond_strength; flexural_strength; mechanical; property; tensile; tensile_strength
strength,zirconia,common_vocab,20,compared,177099,193320,13,0.48148148148148145,mechanical; flexural_strength; tensile_strength; property; bond_strength; tensile; fracture_toughness; fracture; result; diametral_tensile; durability; bonding; flexural; material; resistance; bond; different; addition; compressive_strength; base,mechanical; property; flexural_strength; bonding; durability; bond_strength; tensile_strength; tensile; elastic_modulus; mpa; toughness; fracture_toughness; shear; bond; material; modulus_elasticity; influence; fracture; resistance; application,bond; bond_strength; bonding; durability; flexural_strength; fracture; fracture_toughness; material; mechanical; property; resistance; tensile; tensile_strength
structural,structural_color_composite,common_vocab,5,compared,115439,130066,3,0.42857142857142855,structure; microstructural; struc_tural; physical; property,structure; struc_tural; morphological; characteristic; property,property; struc_tural; structure
structural,structural_color_composite,common_vocab,10,compared,115439,130066,7,0.5384615384615384,structure; microstructural; struc_tural; physical; property; characteristic; mechanical; aspect; investigation; compositional,structure; struc_tural; morphological; characteristic; property; mechanical; compositional; physical; characterization; behavior,characteristic; compositional; mechanical; physical; property; struc_tural; structure
structural,structural_color_composite,common_vocab,20,compared,115439,130066,14,0.5384615384615384,structure; microstructural; struc_tural; physical; property; characteristic; mechanical; aspect; investigation; compositional; key; characterization; behavior; morphological; related; stability; detailed; tural; crystalline; properties,structure; struc_tural; morphological; characteristic; property; mechanical; compositional; physical; characterization; behavior; stability; microstructural; structurally; investigation; unique; chemical; composition; detailed; feature; various,behavior; characteristic; characterization; compositional; detailed; investigation; mechanical; microstructural; morphological; physical; property; stability; struc_tural; structure
